codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
41377,ACIDENTE,SERRA NEGRA,SP,****,14/02/2010,17:30:00,0,1,NÃO
39930,INCIDENTE GRAVE,CURITIBA,PR,SBCT,16/02/2010,16:25:00,2,1,NÃO
39992,ACIDENTE,SÃO PAULO,SP,SBMT,17/02/2010,20:07:00,11,1,SIM
39386,INCIDENTE,SÃO PAULO,SP,****,18/02/2010,10:10:00,0,1,NÃO
40325,INCIDENTE GRAVE,EXU,PE,****,19/02/2010,10:20:00,0,1,NÃO
39385,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,21/02/2010,17:00:00,1,1,NÃO
39988,INCIDENTE,CURITIBA,PR,SBBI,22/02/2010,16:00:00,0,1,NÃO
40318,INCIDENTE,JUIZ DE FORA,MG,****,22/02/2010,13:47:00,0,1,NÃO
39727,INCIDENTE GRAVE,VÁRZEA GRANDE,MT,SBCY,23/02/2010,19:42:00,0,1,SIM
39317,ACIDENTE,RIO VERDE,GO,SWLC,24/02/2010,13:00:00,0,1,NÃO
39987,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,24/02/2010,19:37:00,0,1,NÃO
41181,INCIDENTE,CASCAVEL,PR,SBCA,25/02/2010,11:17:00,0,1,NÃO
39933,ACIDENTE,BELO HORIZONTE,MG,****,26/02/2010,11:19:00,1,1,NÃO
40296,INCIDENTE,CURITIBA,PR,****,26/02/2010,22:32:00,0,1,NÃO
40316,INCIDENTE GRAVE,TIMÓTEO,MG,****,26/02/2010,14:40:00,3,1,NÃO
40331,INCIDENTE,CAMPINAS,SP,****,28/02/2010,09:00:00,0,1,NÃO
40314,INCIDENTE,SÃO PAULO,SP,****,04/03/2010,23:50:00,0,1,NÃO
39916,INCIDENTE GRAVE,MANAUS,AM,SBEG,07/03/2010,19:35:00,2,1,SIM
39910,INCIDENTE,GUARULHOS,SP,SBGR,08/03/2010,00:49:00,0,1,NÃO
39887,ACIDENTE,BELO HORIZONTE,MG,SBPR,09/03/2010,17:45:00,1,1,SIM
39914,INCIDENTE,LONDRINA,PR,SBLO,09/03/2010,21:00:00,0,1,NÃO
40312,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,09/03/2010,19:18:00,0,1,NÃO
39913,INCIDENTE GRAVE,RIO BRANCO,AC,SBRB,10/03/2010,06:17:00,3,1,SIM
40150,INCIDENTE GRAVE,SANTA MARIA,RS,SBSM,10/03/2010,17:20:00,0,1,NÃO
40273,INCIDENTE,RIO BRANCO,AC,SBRB,10/03/2010,14:30:00,2,1,NÃO
39993,INCIDENTE GRAVE,LONDRINA,PR,SBLO,11/03/2010,12:30:00,2,1,NÃO
41986,INCIDENTE,GUARULHOS,SP,SBGR,11/03/2010,03:00:00,0,1,NÃO
40260,INCIDENTE,BELO HORIZONTE,MG,****,12/03/2010,18:10:00,0,1,NÃO
41988,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,12/03/2010,03:00:00,0,1,NÃO
40027,INCIDENTE,BLUMENAU,SC,SSBL,15/03/2010,21:05:00,0,1,NÃO
40320,INCIDENTE,GUARULHOS,SP,SBGR,15/03/2010,09:57:00,0,1,NÃO
40322,INCIDENTE,BELÉM,PA,SBJC,15/03/2010,18:15:00,0,1,NÃO
40307,INCIDENTE,BELÉM,PA,SBJC,16/03/2010,20:00:00,0,1,NÃO
40168,INCIDENTE,MONTES CLAROS,MG,SBMK,17/03/2010,01:34:00,0,1,NÃO
40329,INCIDENTE,SÃO PAULO,SP,SBSP,18/03/2010,12:10:00,0,1,NÃO
41998,INCIDENTE,CONFINS,MG,SBCF,18/03/2010,13:37:00,0,1,NÃO
41999,INCIDENTE,GUARULHOS,SP,SBGR,18/03/2010,03:00:00,0,1,NÃO
40088,ACIDENTE,UIRAMUTÃ,RR,****,19/03/2010,13:10:00,3,1,SIM
40148,ACIDENTE,CAMPO GRANDE,MS,****,19/03/2010,19:30:00,1,1,NÃO
40170,INCIDENTE,MANAUS,AM,SBEG,20/03/2010,11:00:00,0,1,NÃO
40210,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,20/03/2010,20:02:00,0,1,NÃO
40212,INCIDENTE,UBERLÂNDIA,MG,SBUL,20/03/2010,12:14:00,0,1,NÃO
40332,INCIDENTE,MACAÉ,RJ,****,20/03/2010,21:58:00,0,1,NÃO
40149,ACIDENTE,LUZIÂNIA,GO,SWUZ,21/03/2010,20:45:00,2,1,NÃO
40209,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,21/03/2010,13:46:00,0,1,NÃO
41939,INCIDENTE,CONFINS,MG,SBCF,22/03/2010,03:00:00,0,1,NÃO
40330,INCIDENTE,RIO DE JANEIRO,RJ,****,24/03/2010,11:35:00,0,1,NÃO
42781,INCIDENTE,GUARULHOS,SP,SBGR,25/03/2010,03:00:00,0,1,NÃO
40087,ACIDENTE,ANÁPOLIS,GO,SWNS,26/03/2010,10:45:00,4,1,NÃO
40089,ACIDENTE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,****,28/03/2010,15:10:00,0,1,SIM
40827,INCIDENTE,PENÁPOLIS,SP,****,30/03/2010,20:45:00,0,1,NÃO
40287,INCIDENTE,ITAJAÍ,SC,****,31/03/2010,13:00:00,0,1,NÃO
40326,INCIDENTE,RECIFE,PE,****,31/03/2010,15:20:00,0,1,NÃO
40288,INCIDENTE,FORTALEZA,CE,SBFZ,01/04/2010,13:16:00,0,1,NÃO
40275,INCIDENTE,BRASÍLIA,DF,SBBR,02/04/2010,18:15:00,0,1,NÃO
40291,INCIDENTE,CONFINS,MG,SBCF,03/04/2010,20:25:00,0,1,NÃO
40251,INCIDENTE,FLORIANÓPOLIS,SC,****,04/04/2010,17:00:00,0,1,NÃO
40267,INCIDENTE GRAVE,VERA CRUZ,BA,SNVR,04/04/2010,11:00:00,2,1,NÃO
40190,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,06/04/2010,02:35:00,3,1,NÃO
40171,ACIDENTE,PORTO NACIONAL,TO,SBPN,07/04/2010,18:45:00,2,1,NÃO
40269,INCIDENTE GRAVE,ANÁPOLIS,GO,SWNS,07/04/2010,19:30:00,1,1,SIM
40147,ACIDENTE,UNIÃO DA VITÓRIA,PR,SSUV,08/04/2010,14:20:00,3,1,SIM
40250,ACIDENTE,LUZIÂNIA,GO,****,08/04/2010,20:00:00,0,1,NÃO
40292,INCIDENTE,CAMPINAS,SP,SBKP,08/04/2010,20:30:00,0,1,NÃO
40213,INCIDENTE GRAVE,GOIÂNIA,GO,SWNV,09/04/2010,21:00:00,1,1,NÃO
40295,INCIDENTE,RIO BRANCO,AC,SBRB,11/04/2010,19:20:00,0,1,NÃO
40214,ACIDENTE,REDENÇÃO,PA,****,12/04/2010,19:30:00,1,1,NÃO
40227,INCIDENTE,AREALVA,SP,****,12/04/2010,14:03:00,0,1,NÃO
40228,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,12/04/2010,17:17:00,0,1,NÃO
40258,INCIDENTE,MONTE ALEGRE,PA,****,12/04/2010,18:10:00,0,1,NÃO
40327,INCIDENTE,PORTO ALEGRE,RS,****,12/04/2010,13:13:00,0,1,NÃO
40826,INCIDENTE,MARÍLIA,SP,SBML,12/04/2010,13:00:00,0,1,NÃO
40248,INCIDENTE,PORTO ALEGRE,RS,SBPA,13/04/2010,18:47:00,0,1,NÃO
40262,INCIDENTE,SÃO PAULO,SP,SBSP,14/04/2010,01:42:00,0,1,NÃO
40261,INCIDENTE,MACAÉ,RJ,SBME,15/04/2010,13:10:00,0,1,NÃO
40270,INCIDENTE GRAVE,PIRASSUNUNGA,SP,SDPY,15/04/2010,20:15:00,0,1,NÃO
40323,INCIDENTE,SÃO PAULO,SP,****,15/04/2010,20:20:00,0,1,NÃO
40328,ACIDENTE,CORRENTINA,BA,****,15/04/2010,17:25:00,0,1,NÃO
40294,INCIDENTE,RIO DE JANEIRO,RJ,****,16/04/2010,20:00:00,0,1,NÃO
40352,INCIDENTE,CUIABÁ,MT,****,16/04/2010,20:50:00,0,1,NÃO
40412,ACIDENTE,MACAPÁ,AP,****,16/04/2010,21:55:00,0,1,NÃO
40247,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,17/04/2010,23:30:00,0,1,NÃO
40350,INCIDENTE GRAVE,UIRAMUTÃ,RR,****,17/04/2010,20:30:00,0,1,NÃO
40293,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,18/04/2010,16:23:00,0,1,NÃO
40413,INCIDENTE,MACAÉ,RJ,SBME,18/04/2010,18:25:00,0,1,NÃO
40264,ACIDENTE,CAMPO VERDE,MT,SWOZ,20/04/2010,16:30:00,2,1,NÃO
40321,INCIDENTE,LONDRINA,PR,****,20/04/2010,16:11:00,0,1,NÃO
40271,ACIDENTE,RECIFE,PE,SNEM,21/04/2010,11:27:00,2,1,NÃO
40447,ACIDENTE,MANGARATIBA,RJ,****,21/04/2010,18:55:00,0,1,NÃO
40489,INCIDENTE,CAMPINAS,SP,****,21/04/2010,17:01:00,0,1,NÃO
40508,INCIDENTE,BELO HORIZONTE,MG,****,21/04/2010,14:44:00,0,1,NÃO
40576,INCIDENTE,MACAÉ,RJ,SBME,21/04/2010,18:37:00,0,1,NÃO
40577,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,21/04/2010,12:52:00,0,1,NÃO
40581,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,21/04/2010,13:20:00,0,1,NÃO
40554,ACIDENTE,RESENDE,RJ,****,27/04/2010,18:47:00,8,1,NÃO
40572,ACIDENTE,PORTO ALEGRE,RS,SBPA,28/04/2010,14:10:00,0,1,NÃO
40819,INCIDENTE,NIQUELÂNDIA,GO,****,28/04/2010,18:30:00,0,1,NÃO
41610,INCIDENTE,NAVEGANTES,SC,****,29/04/2010,10:52:00,0,1,NÃO
40583,INCIDENTE,SALVADOR,BA,SBSV,30/04/2010,16:35:00,1,1,NÃO
40623,INCIDENTE,BELO HORIZONTE,MG,SBBH,30/04/2010,09:55:00,0,1,NÃO
40652,INCIDENTE GRAVE,CUIABÁ,MT,SJCY,30/04/2010,19:00:00,0,1,SIM
40573,INCIDENTE GRAVE,ITAPETINGA,BA,****,01/05/2010,15:40:00,2,1,NÃO
40575,INCIDENTE,MANAUS,AM,SBEG,01/05/2010,16:15:00,0,1,NÃO
40774,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,01/05/2010,02:10:00,0,1,NÃO
40579,INCIDENTE,CURITIBA,PR,SBBI,04/05/2010,13:00:00,0,1,NÃO
40842,INCIDENTE,SÃO PAULO,SP,****,04/05/2010,18:00:00,0,1,NÃO
41629,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,04/05/2010,13:19:00,0,1,NÃO
40621,INCIDENTE GRAVE,POÇOS DE CALDAS,MG,SBPC,05/05/2010,21:05:00,0,1,NÃO
40622,INCIDENTE,BELÉM,PA,****,05/05/2010,17:10:00,0,1,NÃO
40821,INCIDENTE,MANICORÉ,AM,****,05/05/2010,09:32:00,0,1,NÃO
40620,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,06/05/2010,15:50:00,0,1,NÃO
40624,INCIDENTE,SÃO LUÍS,MA,SBSL,06/05/2010,17:05:00,0,1,NÃO
40825,INCIDENTE,BELO HORIZONTE,MG,SBBH,06/05/2010,18:48:00,0,1,NÃO
40791,INCIDENTE,MANAUS,AM,****,07/05/2010,10:28:00,0,1,NÃO
40793,ACIDENTE,PORTO NACIONAL,TO,SBPN,07/05/2010,16:41:00,3,1,SIM
40837,INCIDENTE,CUIABÁ,MT,****,07/05/2010,22:17:00,0,1,NÃO
40732,INCIDENTE GRAVE,CAMAÇARI,BA,****,08/05/2010,15:05:00,5,1,NÃO
40835,INCIDENTE,UBERABA,MG,****,08/05/2010,13:14:00,0,1,NÃO
40843,ACIDENTE,LUCAS DO RIO VERDE,MT,****,08/05/2010,18:30:00,0,1,NÃO
40834,INCIDENTE,ILHÉUS,BA,****,10/05/2010,23:55:00,0,1,NÃO
40839,ACIDENTE,ITÁPOLIS,SP,****,10/05/2010,20:30:00,0,1,NÃO
41665,INCIDENTE,MARABÁ,PA,SBMA,11/05/2010,18:32:00,0,1,NÃO
41649,INCIDENTE,SÃO PAULO,SP,SBSP,12/05/2010,19:52:00,0,1,NÃO
40855,ACIDENTE,MANAUS,AM,****,13/05/2010,18:58:00,4,1,NÃO
41573,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,13/05/2010,16:10:00,0,1,NÃO
40853,INCIDENTE,MARÍLIA,SP,SBML,14/05/2010,18:25:00,0,1,NÃO
41574,INCIDENTE,JUIZ DE FORA,MG,****,14/05/2010,23:57:00,0,1,NÃO
40933,ACIDENTE,CÁCERES,MT,SWKC,15/05/2010,20:40:00,0,1,NÃO
41485,INCIDENTE,MANICORÉ,AM,****,15/05/2010,12:00:00,0,1,NÃO
41393,INCIDENTE,LONDRINA,PR,SBLO,17/05/2010,11:15:00,0,1,NÃO
41409,INCIDENTE,BAGÉ,RS,****,17/05/2010,14:20:00,0,1,NÃO
41054,INCIDENTE,MONTE ALEGRE,PA,****,18/05/2010,14:55:00,0,1,NÃO
41174,INCIDENTE,MACEIÓ,AL,SBMO,18/05/2010,21:50:00,0,1,NÃO
41053,ACIDENTE,CASCAVEL,PR,SBCA,19/05/2010,08:10:00,2,1,NÃO
41132,INCIDENTE,SÃO PAULO,SP,****,20/05/2010,03:00:00,0,1,NÃO
41155,ACIDENTE,JUNDIAÍ,SP,SBJD,20/05/2010,19:35:00,5,1,SIM
41177,ACIDENTE,GOIÂNIA,GO,SBGO,20/05/2010,20:05:00,0,1,SIM
41179,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,20/05/2010,22:20:00,8,1,NÃO
41178,INCIDENTE,CAMPINAS,SP,SDAM,21/05/2010,15:40:00,0,1,NÃO
41172,INCIDENTE,PARAUAPEBAS,PA,SBCJ,22/05/2010,19:02:00,0,1,NÃO
41235,INCIDENTE,BRASÍLIA,DF,SBBR,23/05/2010,15:35:00,0,1,NÃO
41224,INCIDENTE,GOIÂNIA,GO,****,26/05/2010,15:50:00,0,1,NÃO
41252,INCIDENTE,SÃO LUÍS,MA,SBSL,26/05/2010,14:10:00,0,1,NÃO
41374,ACIDENTE,CORRENTINA,BA,****,26/05/2010,14:00:00,9,1,NÃO
41274,ACIDENTE,BOCAINA,SP,****,27/05/2010,12:00:00,0,1,NÃO
41236,ACIDENTE,FELIZ DESERTO,AL,SNUZ,29/05/2010,09:55:00,3,1,NÃO
41272,INCIDENTE,FORTALEZA,CE,SBFZ,29/05/2010,19:38:00,0,1,NÃO
41375,INCIDENTE,BRASÍLIA,DF,SBBR,29/05/2010,15:45:00,0,1,NÃO
41376,INCIDENTE,PORTO SEGURO,BA,SBPS,29/05/2010,13:50:00,0,1,NÃO
41378,INCIDENTE,COARI,AM,****,02/06/2010,19:00:00,0,1,NÃO
41481,INCIDENTE,CONFINS,MG,SBCF,02/06/2010,01:00:00,0,1,NÃO
41484,INCIDENTE,BRASÍLIA,DF,SBBR,02/06/2010,12:20:00,0,1,NÃO
41482,ACIDENTE,TRÊS FORQUILHAS,RS,****,03/06/2010,16:15:00,0,1,NÃO
41661,INCIDENTE,CAMPINAS,SP,****,03/06/2010,13:00:00,0,1,NÃO
41392,INCIDENTE,LONDRINA,PR,SBLO,04/06/2010,11:42:00,0,1,NÃO
41394,INCIDENTE,GUARULHOS,SP,SBGR,04/06/2010,01:05:00,0,1,NÃO
41682,INCIDENTE,GUARULHOS,SP,SBGR,05/06/2010,19:12:00,0,1,NÃO
41487,INCIDENTE,JOINVILLE,SC,SBJV,07/06/2010,12:50:00,0,1,NÃO
41411,INCIDENTE GRAVE,SÃO PAULO,SP,SBMT,08/06/2010,19:30:00,2,1,SIM
41480,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,08/06/2010,23:07:00,1,1,NÃO
41579,INCIDENTE,SANTA ROSA DO PURUS,AC,****,09/06/2010,13:55:00,0,1,NÃO
45940,ACIDENTE,ALTO ALEGRE,RR,****,09/06/2010,15:00:00,0,1,NÃO
41591,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,10/06/2010,17:30:00,0,1,NÃO
41592,INCIDENTE,FORTALEZA,CE,****,10/06/2010,03:00:00,0,1,NÃO
41676,INCIDENTE,BRASÍLIA,DF,****,10/06/2010,17:27:00,0,1,NÃO
42010,INCIDENTE,MACAÉ,RJ,****,10/06/2010,11:52:00,0,1,NÃO
41569,ACIDENTE,SÃO FÉLIX DO XINGU,PA,SNFX,12/06/2010,23:30:00,0,1,SIM
41488,ACIDENTE,AQUIRAZ,CE,****,13/06/2010,12:50:00,0,1,NÃO
41553,INCIDENTE,CONFINS,MG,SBCF,13/06/2010,10:03:00,0,1,NÃO
41595,INCIDENTE,PETROLINA,PE,SBPL,13/06/2010,15:00:00,0,1,NÃO
41908,INCIDENTE,CAMPINAS,SP,SBKP,13/06/2010,12:45:00,0,1,NÃO
41552,ACIDENTE,NOVA MAMORÉ,RO,****,14/06/2010,14:25:00,9,1,NÃO
41551,INCIDENTE,MANAUS,AM,SBEG,15/06/2010,15:20:00,0,1,NÃO
41578,INCIDENTE GRAVE,NOVA XAVANTINA,MT,SWXV,15/06/2010,20:45:00,1,1,NÃO
41589,INCIDENTE,SÃO PAULO,SP,****,15/06/2010,00:38:00,0,1,NÃO
42013,INCIDENTE,MACAÉ,RJ,****,16/06/2010,13:45:00,0,1,NÃO
41571,INCIDENTE,SÃO PAULO,SP,****,17/06/2010,22:30:00,0,1,NÃO
41854,INCIDENTE,SALVADOR,BA,SBSV,17/06/2010,09:31:00,0,1,NÃO
41915,INCIDENTE,SALVADOR,BA,****,18/06/2010,09:37:00,0,1,NÃO
41678,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,19/06/2010,19:05:00,0,1,NÃO
41680,INCIDENTE,BELO HORIZONTE,MG,****,19/06/2010,13:06:00,0,1,NÃO
42011,INCIDENTE,RIO DE JANEIRO,RJ,****,19/06/2010,13:16:00,0,1,NÃO
41655,INCIDENTE,SÃO PAULO,SP,SBMT,20/06/2010,17:40:00,0,1,NÃO
41664,INCIDENTE,BRASÍLIA,DF,SBBR,21/06/2010,17:23:00,0,1,NÃO
41684,INCIDENTE,BRASÍLIA,DF,****,21/06/2010,17:00:00,0,1,NÃO
41840,INCIDENTE,SALVADOR,BA,****,23/06/2010,15:29:00,0,1,NÃO
41609,INCIDENTE,ARACAJU,SE,SBAR,24/06/2010,03:36:00,0,2,NÃO
41729,ACIDENTE,RIO DE JANEIRO,RJ,****,25/06/2010,13:05:00,0,1,NÃO
41852,INCIDENTE,GUARULHOS,SP,SBGR,25/06/2010,21:30:00,0,1,NÃO
41910,INCIDENTE,NAVEGANTES,SC,SBNF,25/06/2010,11:45:00,0,1,NÃO
41672,INCIDENTE,RIBEIRÃO PRETO,SP,****,27/06/2010,12:30:00,0,1,NÃO
41898,INCIDENTE GRAVE,SANTO ÂNGELO,RS,****,27/06/2010,17:45:00,2,1,NÃO
41909,INCIDENTE,COARI,AM,****,27/06/2010,12:20:00,0,1,NÃO
42009,INCIDENTE,CARAUARI,AM,****,27/06/2010,17:45:00,0,1,NÃO
41670,INCIDENTE GRAVE,IPATINGA,MG,****,28/06/2010,12:45:00,0,1,SIM
41829,ACIDENTE,JUNDIAÍ,SP,SBJD,29/06/2010,19:20:00,2,1,SIM
42012,INCIDENTE,CAMPINAS,SP,SBKP,30/06/2010,19:37:00,0,1,NÃO
41913,INCIDENTE,SALVADOR,BA,SBSV,02/07/2010,17:25:00,0,1,NÃO
41991,INCIDENTE,GUARULHOS,SP,SBGR,02/07/2010,13:30:00,0,1,NÃO
41749,ACIDENTE,RECIFE,PE,SBRF,04/07/2010,20:20:00,1,1,SIM
41902,INCIDENTE,BRASÍLIA,DF,****,04/07/2010,21:00:00,0,1,NÃO
41832,INCIDENTE GRAVE,RONDONÓPOLIS,MT,****,05/07/2010,22:00:00,0,1,NÃO
41845,INCIDENTE,UBERLÂNDIA,MG,SBUL,05/07/2010,10:35:00,0,1,NÃO
42232,INCIDENTE,BRASÍLIA,DF,SBBR,05/07/2010,03:00:00,0,1,NÃO
41914,INCIDENTE,MARÍLIA,SP,SBML,07/07/2010,18:07:00,0,1,NÃO
41985,INCIDENTE,ITAJAÍ,SC,****,07/07/2010,16:12:00,0,1,NÃO
41984,INCIDENTE,GOIÂNIA,GO,****,08/07/2010,15:24:00,0,1,NÃO
42429,INCIDENTE,PORTO ALEGRE,RS,SBPA,09/07/2010,13:44:00,0,1,NÃO
41751,ACIDENTE,CAMANDUCAIA,MG,****,10/07/2010,18:20:00,9,1,NÃO
41789,ACIDENTE,PAÇO DO LUMIAR,MA,****,10/07/2010,13:39:00,4,1,NÃO
41834,INCIDENTE GRAVE,PONTA GROSSA,PR,SSZW,10/07/2010,20:35:00,5,1,NÃO
42039,INCIDENTE,LINHARES,ES,****,10/07/2010,11:20:00,0,1,NÃO
41837,INCIDENTE,OLINDA,PE,****,11/07/2010,11:50:00,8,1,NÃO
41750,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,12/07/2010,19:53:00,3,1,NÃO
